movieId	title	genres	imdbId	averageRating	numVotes	directors	cast	movie_year
1	Toy Story (1995)	Adventure|Animation|Children|Comedy|Fantasy	114709	8.3	1072982	nm0005124	nm0000158|nm0000741|nm0725543|nm0001815|nm0001728	1995
2	Jumanji (1995)	Adventure|Children|Fantasy	113497	7.1	378866	nm0002653	nm0000245|nm0000379|nm0001372|nm0404993|nm0404993	1995
3	Grumpier Old Men (1995)	Comedy|Romance	113228	6.6	29822	nm0222043	nm0000527|nm0000493|nm0000268|nm0000047|nm0580565	1995
4	Waiting to Exhale (1995)	Comedy|Drama|Romance	114885	6.0	12265	nm0001845	nm0001365|nm0000291|nm0222643|nm0005375|nm0002138	1995
5	Father of the Bride Part II (1995)	Comedy	113041	6.1	41837	nm0796124	nm0000188|nm0000473|nm0001737|nm0931090|nm0627624	1995
6	Heat (1995)	Action|Crime|Thriller	113277	8.3	722916	nm0000520	nm0000199|nm0000134|nm0000174|nm0000685|nm0001744	1995
7	Sabrina (1995)	Comedy|Romance	114319	6.3	44610	nm0001628	nm0000148|nm0000566|nm0001427|nm0545408|nm0939795	1995
8	Tom and Huck (1995)	Adventure|Children	112302	5.5	11695	nm0382072	nm0001795|nm0000605|nm0734236|nm0777760|nm0942195	1995
9	Sudden Death (1995)	Action	114576	5.8	37184	nm0001382	nm0000241|nm0000959|nm0000855|nm0942925|nm0539678	1995
10	GoldenEye (1995)	Action|Adventure|Thriller	113189	7.2	270861	nm0132709	nm0000112|nm0000293|nm0001713|nm0000463|nm0000833	1995
11	American President, The (1995)	Comedy|Drama|Romance	112346	6.8	60791	nm0001661	nm0000140|nm0000906|nm0000640|nm0000150|nm0807332	1995
12	Dracula: Dead and Loving It (1995)	Comedy|Horror	112896	5.8	45348	nm0000316	nm0000558|nm0000316|nm0001493|nm0001836|nm0001865	1995
13	Balto (1995)	Adventure|Animation|Children	112453	7.1	48299	nm0920425	nm0000102|nm0001364|nm0000403|nm0191906|nm0002015	1995
14	Nixon (1995)	Drama	113987	7.1	32823	nm0000231	nm0000164|nm0000260|nm0000959|nm0000438|nm0001364	1995
15	Cutthroat Island (1995)	Action|Adventure|Romance	112760	5.7	30707	nm0001317	nm0000133|nm0000546|nm0001449|nm0001999|nm0538869	1995
16	Casino (1995)	Crime|Drama	112641	8.2	566704	nm0000217	nm0000134|nm0000232|nm0000582|nm0000249|nm0725543	1995
17	Sense and Sensibility (1995)	Drama|Romance	114388	7.7	126282	nm0000487	nm0000668|nm0000701|nm0281424|nm0929489|nm0910040	1995
